,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Alofi,NU,-19.0595,-169.9187,82.29,69,16,12.66,few clouds
327,Nanortalik,GL,60.1432,-45.2371,38.68,96,100,26.11,light rain
328,Lebanon,US,36.2081,-86.2911,60.85,69,0,0.0,clear sky
329,Ketchikan,US,55.3422,-131.6461,55.87,76,100,5.75,overcast clouds
330,Kolondieba,ML,11.0882,-6.8926,76.12,85,97,3.74,overcast clouds
331,Nioro,GM,13.35,-15.75,76.64,95,74,5.53,light rain
332,Markova,UA,48.6758,24.4138,45.16,80,83,4.68,broken clouds
333,Fortuna,US,40.5982,-124.1573,58.93,81,51,1.99,broken clouds
334,Karratha,AU,-20.7377,116.8463,79.68,30,0,7.83,clear sky
335,Dunda,TZ,-8.1167,34.25,61.92,60,95,3.85,overcast clouds
336,Ilulissat,GL,69.2167,-51.1,32.02,47,17,3.44,few clouds
337,Karaton,ID,-6.3424,106.1045,81.91,73,100,3.62,light rain
338,Bonga,ET,7.2833,36.2333,59.13,98,91,2.04,overcast clouds
339,Asau,RO,46.4333,26.4,47.32,92,10,5.12,clear sky
340,Axim,GH,4.8699,-2.2405,75.11,94,98,5.95,overcast clouds
341,Kahului,US,20.8947,-156.47,82.42,78,40,18.41,scattered clouds
342,Luangwa,ZM,-15.6167,30.4167,72.9,42,0,1.72,clear sky
343,Te Anau,NZ,-45.4167,167.7167,37.63,79,64,10.33,broken clouds
344,Qui Nhon,VN,13.7667,109.2333,80.73,81,99,7.14,overcast clouds
345,Salta,AR,-24.7859,-65.4117,66.58,58,0,3.44,clear sky
346,Biak,ID,-0.9131,122.8766,84.36,63,73,1.36,broken clouds
347,Laguna,US,38.421,-121.4238,81.45,50,0,6.91,clear sky
348,Northam,GB,51.0333,-4.2167,61.25,97,100,20.56,overcast clouds
349,Padang,ID,-0.9492,100.3543,75.25,86,100,5.91,light rain
350,Cordoba,AR,-31.4135,-64.1811,69.76,42,0,10.36,clear sky
351,Burnie,AU,-41.0667,145.9167,54.91,53,100,21.27,overcast clouds
352,Vanderhoof,CA,54.0166,-124.0198,58.78,72,100,3.4,overcast clouds
353,Sassandra,CI,4.95,-6.0833,75.31,92,99,4.12,overcast clouds
354,Nizhnekamsk,RU,55.6366,51.8245,45.39,60,75,6.71,broken clouds
355,Talaya,RU,61.3833,152.75,18.7,93,100,10.78,snow
356,Hit,IQ,33.6416,42.8251,80.17,17,0,6.35,clear sky
357,Two Rivers,US,44.1539,-87.5693,58.98,87,0,1.99,clear sky
358,Yabelo,ET,4.8833,38.0833,62.47,61,99,9.51,overcast clouds
359,Serenje,ZM,-13.2325,30.2352,62.4,39,3,5.01,clear sky
360,Ribeira Brava,PT,32.65,-17.0667,71.71,68,53,2.91,broken clouds
361,Tawang,IN,27.5833,91.8667,54.93,95,100,1.5,overcast clouds
362,San Antonio,US,29.4241,-98.4936,77.45,44,0,3.44,clear sky
363,Denpasar,ID,-8.65,115.2167,80.26,88,75,4.61,broken clouds
364,Port Hardy,CA,50.6996,-127.4199,60.98,82,75,4.61,broken clouds
365,Lorengau,PG,-2.0226,147.2712,85.17,72,100,11.9,overcast clouds
366,Bowen,AU,-20.0167,148.2333,77.04,64,100,17.74,overcast clouds
367,San Policarpo,PH,12.1791,125.5072,82.51,82,99,6.73,overcast clouds
368,Kodinsk,RU,58.6881,99.1844,30.67,72,33,5.97,scattered clouds
369,Kaseda,JP,31.4167,130.3167,77.88,74,46,8.95,scattered clouds
370,Zambezi,ZM,-13.5432,23.1047,61.93,33,4,2.42,clear sky
371,Tiarei,PF,-17.5333,-149.3333,84.22,73,33,25.17,scattered clouds
372,Melton,AU,-37.6833,144.5833,56.68,92,100,5.77,moderate rain
373,San Jose,US,37.3394,-121.895,71.58,74,0,8.05,clear sky
374,Hanzhong,CN,33.0728,107.0303,51.71,94,100,3.83,overcast clouds
375,Dingle,PH,10.9995,122.6711,85.55,73,100,8.72,overcast clouds
376,Cheremshanka,RU,56.1192,60.268,42.75,72,100,2.77,overcast clouds
377,Kungurtug,RU,50.5994,97.5228,30.65,38,24,0.65,few clouds
378,Ende,ID,-8.8432,121.6623,85.87,69,50,5.01,scattered clouds
379,Flin Flon,CA,54.7682,-101.865,51.33,53,50,2.15,scattered clouds
380,Quatre Cocos,MU,-20.2078,57.7625,69.91,73,85,11.07,overcast clouds
381,Sarrebourg,FR,48.7333,7.05,50.81,81,14,5.12,few clouds
382,Pisco,PE,-13.7,-76.2167,59.05,88,20,9.22,few clouds
383,Poya,NC,-21.35,165.15,78.31,46,1,10.38,clear sky
384,Ilebo,CD,-4.3167,20.5833,69.03,97,67,1.1,broken clouds
385,Panorama,GR,40.5878,23.0315,58.91,53,2,1.99,clear sky
386,Klyuchi,RU,52.2667,79.1667,40.91,45,100,7.43,overcast clouds
387,Cabadiangan,PH,9.7531,122.4739,86.05,69,100,8.28,overcast clouds
388,Jinxiang,CN,27.4327,120.6062,73.0,76,100,16.44,overcast clouds
389,Byron Bay,AU,-28.65,153.6167,70.95,53,100,6.8,overcast clouds
390,Sarkand,KZ,45.41,79.9186,49.59,37,7,2.28,clear sky
391,Khislavichi,RU,54.1871,32.1582,43.23,91,100,12.37,overcast clouds
392,Tutoia,BR,-2.7619,-42.2744,78.42,80,30,11.99,scattered clouds
393,Zharkent,KZ,44.1628,80.0,56.71,53,63,2.19,broken clouds
394,Yucaipa,US,34.0336,-117.0431,77.25,56,0,9.22,clear sky
395,San Ramon,US,37.7799,-121.978,73.62,69,0,6.91,clear sky
396,Greytown,ZA,-29.0642,30.5928,52.16,98,52,3.8,broken clouds
397,Cabo Rojo,PR,18.0866,-67.1457,79.97,91,23,6.73,few clouds
398,Victor Harbor,AU,-35.5667,138.6167,61.68,93,100,6.22,overcast clouds
399,Plastun,RU,44.7561,136.2939,46.74,29,0,7.99,clear sky
400,Shangrao,CN,28.4532,117.9686,67.01,82,100,8.12,overcast clouds
401,Tokur,RU,53.1333,132.9,28.69,39,17,9.82,few clouds
402,Severnoye,RU,56.3491,78.3619,41.68,97,100,7.25,overcast clouds
403,Kongolo,CD,-5.3833,27.0,69.96,86,74,2.73,broken clouds
404,Andenes,NO,69.3143,16.1194,49.98,76,100,14.97,moderate rain
405,Sundsvall,SE,62.3913,17.3063,52.97,99,100,10.36,moderate rain
406,Normandin,CA,48.8333,-72.5321,53.91,82,86,3.44,overcast clouds
407,Ushtobe,KZ,45.2514,77.9838,45.46,26,54,9.84,broken clouds
408,Inongo,CD,-1.95,18.2667,71.22,91,86,3.02,overcast clouds
409,Praxedis Guerrero,MX,31.3667,-106.0167,62.06,45,81,7.99,broken clouds
410,Gillette,US,44.2911,-105.5022,52.95,76,0,3.44,clear sky
411,Ponta Delgada,PT,37.7333,-25.6667,70.5,82,20,3.44,few clouds
412,Puerto El Triunfo,SV,13.2833,-88.55,77.0,88,97,3.31,overcast clouds
413,Lata,PT,40.1629,-8.3327,56.91,66,0,2.51,clear sky
414,Skibbereen,IE,51.55,-9.2667,54.1,93,100,14.27,overcast clouds
415,Belaya Gora,RU,68.5333,146.4167,23.47,77,91,4.59,overcast clouds
416,Kilindoni,TZ,-7.9139,39.6668,75.4,82,82,10.09,broken clouds
417,Antofagasta,CL,-23.65,-70.4,58.28,79,53,3.8,broken clouds
418,Bezhetsk,RU,57.7851,36.6965,42.94,91,97,3.27,overcast clouds
419,Naze,JP,28.3667,129.4833,83.32,70,3,4.76,clear sky
420,Cap Malheureux,MU,-19.9842,57.6142,67.46,76,86,1.99,overcast clouds
421,Kursk,RU,51.7303,36.1939,46.6,93,75,8.95,broken clouds
422,Alekseyevka,RU,50.6309,38.6903,48.11,81,99,10.89,overcast clouds
423,Walvis Bay,NA,-22.9575,14.5053,55.09,93,0,12.66,clear sky
424,Osmaniye,TR,37.0742,36.2478,69.66,73,100,2.21,overcast clouds
425,Bonavista,CA,48.6499,-53.1147,50.52,78,2,18.25,clear sky
426,Beeville,US,28.4008,-97.7483,76.98,73,0,4.61,clear sky
427,Camana,PE,-16.6228,-72.7111,60.21,77,46,6.71,scattered clouds
428,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,38,0,17.27,clear sky
429,Panshi,CN,42.9422,126.0561,43.41,32,0,6.49,clear sky
430,Akdepe,TM,42.0551,59.3788,46.49,24,0,11.1,clear sky
431,Bichena,ET,10.45,38.2,50.61,82,92,1.74,overcast clouds
432,Luanda,AO,-8.8368,13.2343,73.22,84,77,9.71,broken clouds
433,Springbok,ZA,-29.6643,17.8865,46.04,58,0,1.81,clear sky
434,Kayerkan,RU,69.3497,87.7602,32.52,100,100,2.95,overcast clouds
435,Iqaluit,CA,63.7506,-68.5145,33.53,100,75,3.44,broken clouds
436,Hwange,ZW,-18.3693,26.5019,72.95,22,0,3.67,clear sky
437,Maine-Soroa,NE,13.2114,12.0241,85.19,48,67,3.67,broken clouds
438,Umm Lajj,SA,25.0213,37.2685,84.36,50,0,8.55,clear sky
439,Yarega,RU,63.4354,53.5765,44.87,96,100,5.55,overcast clouds
440,Inirida,CO,3.8653,-67.9239,78.21,82,100,2.42,light rain
441,Gizo,SB,-8.103,156.8419,86.34,58,100,8.63,overcast clouds
442,Paoua,CF,7.2427,16.4406,66.43,95,100,2.59,overcast clouds
443,Ilinskiy,RU,55.619,38.1182,45.61,100,75,4.47,moderate rain
444,Nokaneng,BW,-19.6667,22.2667,70.5,20,0,4.14,clear sky
445,Sept-Iles,CA,50.2001,-66.3821,51.8,92,100,6.91,overcast clouds
446,Mbandaka,CD,0.0487,18.2603,70.88,90,72,2.06,broken clouds
447,Lodja,CD,-3.4833,23.4333,68.05,99,100,2.24,overcast clouds
448,Oranjemund,NA,-28.55,16.4333,54.5,90,8,11.77,clear sky
449,Coos Bay,US,43.3665,-124.2179,61.0,91,100,5.75,overcast clouds
450,Dzaoudzi,YT,-12.7887,45.2699,73.29,94,100,4.61,overcast clouds
451,Meiganga,CM,6.5167,14.3,64.15,97,86,1.52,light rain
452,Praia,CV,14.9215,-23.5087,75.74,88,40,4.61,scattered clouds
453,Wanxian,CN,30.8039,108.3897,67.26,80,98,6.78,overcast clouds
454,Pirovskoye,RU,57.6267,92.2658,34.77,71,100,7.94,overcast clouds
455,Neiafu,TO,-18.65,-173.9833,83.08,78,40,11.5,scattered clouds
456,Ust-Kulom,RU,61.6864,53.6902,44.02,79,96,4.29,overcast clouds
457,Pavlovskiy,RU,57.8424,54.8436,45.77,49,100,7.25,overcast clouds
458,Mikuni,JP,36.2171,136.1519,64.31,78,100,20.02,heavy intensity rain
459,Sao Mateus,BR,-18.7161,-39.8589,73.54,81,99,6.2,overcast clouds
460,Camacha,PT,33.0833,-16.3333,67.42,78,20,8.05,few clouds
461,New Iberia,US,30.0035,-91.8187,72.99,69,0,4.61,clear sky
462,Nadym,RU,65.5333,72.5167,36.03,90,84,10.56,broken clouds
463,Huambo,AO,-12.7761,15.7392,62.08,67,10,2.71,clear sky
464,Dover,US,39.1582,-75.5244,54.0,81,100,19.57,overcast clouds
465,Steamboat Springs,US,40.485,-106.8317,52.7,68,40,3.44,scattered clouds
466,Celendin,PE,-6.8703,-78.1517,56.39,80,89,2.75,light rain
467,Ust-Maya,RU,60.4167,134.5333,30.83,45,84,12.57,broken clouds
468,Gorontalo,ID,0.5412,123.0595,87.17,68,90,3.09,overcast clouds
469,Muravlenko,RU,63.7898,74.523,35.94,81,47,13.78,scattered clouds
470,Gushikawa,JP,26.3544,127.8686,87.8,67,40,11.5,scattered clouds
471,Faya,SA,18.3851,42.4509,62.71,28,14,7.25,few clouds
472,Yar-Sale,RU,66.8333,70.8333,36.91,82,100,10.8,overcast clouds
473,Kropotkin,RU,45.4375,40.5756,57.67,70,100,3.02,overcast clouds
474,Turtas,RU,58.9417,69.1325,44.98,89,37,3.83,scattered clouds
475,Gorkovskiy,RU,45.6542,41.199,57.4,73,100,4.63,overcast clouds
476,Takapau,NZ,-40.0333,176.35,49.73,86,98,14.97,light rain
477,Tokmak,UA,47.2514,35.7058,48.15,69,2,6.33,clear sky
478,Soyo,AO,-6.1349,12.3689,74.79,88,75,4.76,broken clouds
479,Rocha,UY,-34.4833,-54.3333,48.56,92,0,3.67,clear sky
480,Vanimo,PG,-2.6741,141.3028,87.57,63,99,9.44,overcast clouds
481,Miyako,JP,39.6367,141.9525,60.3,55,100,8.79,overcast clouds
482,Tolaga Bay,NZ,-38.3667,178.3,64.36,51,93,13.38,overcast clouds
483,Koslan,RU,63.4564,48.8989,45.81,98,100,5.37,overcast clouds
484,Fuerte Olimpo,PY,-21.0415,-57.8738,78.33,51,34,5.37,scattered clouds
485,Santa Cruz,BO,-17.8,-63.1667,78.26,69,46,8.05,scattered clouds
486,Sainte-Marie,RE,-20.8968,55.5496,68.16,73,9,11.5,clear sky
487,Salekhard,RU,66.53,66.6019,33.69,84,62,1.52,broken clouds
488,Boli,CN,45.7667,130.5167,46.54,23,9,12.06,clear sky
489,Morgan City,US,29.6994,-91.2068,73.0,82,79,6.42,broken clouds
490,San Cristobal,VE,7.7669,-72.225,73.58,98,100,2.37,overcast clouds
491,Banda Aceh,ID,5.5577,95.3222,77.13,89,100,8.03,overcast clouds
492,Maldonado,UY,-34.6667,-54.9167,52.99,93,0,5.75,clear sky
493,Half Moon Bay,US,37.4636,-122.4286,68.74,82,100,18.41,overcast clouds
494,Del Rio,US,29.3627,-100.8968,78.91,42,0,9.22,clear sky
495,Atlantic City,US,39.3643,-74.4229,59.99,96,100,16.11,mist
496,Xuanwu,CN,32.069,118.8138,58.95,57,100,10.04,overcast clouds
497,Batavia,US,41.85,-88.3126,58.51,58,0,0.0,clear sky
498,Kampene,CD,-3.6,26.6667,67.44,98,94,2.55,overcast clouds
499,Pandamatenga,BW,-18.5278,25.627,71.06,23,0,7.92,clear sky
500,Sistranda,NO,63.7256,8.834,49.96,78,17,15.03,few clouds
501,Puerto Escondido,MX,15.85,-97.0667,79.63,80,8,4.5,clear sky
502,Sungaipenuh,ID,-2.0833,101.3833,68.77,81,100,1.86,overcast clouds
503,Majene,ID,-3.5403,118.9707,84.45,73,98,4.72,overcast clouds
504,Katunino,RU,64.3862,40.6298,35.49,98,75,5.68,broken clouds
505,Vila Velha,BR,-20.3297,-40.2925,71.55,93,75,6.91,thunderstorm with rain
506,Chapais,CA,49.7834,-74.8492,49.78,99,100,3.02,overcast clouds
507,Kokstad,ZA,-30.5472,29.4241,48.36,93,6,4.14,clear sky
508,Verkhoyansk,RU,67.5447,133.385,20.86,85,92,2.46,overcast clouds
509,Zhaozhou,CN,45.6833,125.3167,45.57,29,87,12.5,overcast clouds
510,Adre,TD,13.4667,22.2,71.01,77,100,2.55,overcast clouds
511,Moncton,CA,46.1159,-64.8019,45.32,70,20,6.91,few clouds
512,San Quintin,MX,30.4833,-115.95,68.95,85,27,8.01,scattered clouds
513,Misratah,LY,32.3754,15.0925,74.84,60,12,12.28,few clouds
514,Montagnana,IT,45.2287,11.4635,62.92,89,0,4.41,clear sky
515,Sangin,AF,32.0728,64.8359,71.83,12,0,4.68,clear sky
516,Havoysund,NO,70.9963,24.6622,43.03,80,6,17.11,clear sky
517,Grindavik,IS,63.8424,-22.4338,43.27,75,75,31.07,broken clouds
518,Polunochnoye,RU,60.8697,60.4153,41.49,76,80,1.68,broken clouds
519,Bandiagara,ML,14.3501,-3.6104,82.26,57,7,5.01,clear sky
520,Arroyo,ES,41.6096,-4.7969,57.24,47,40,5.75,scattered clouds
521,Tautira,PF,-17.7333,-149.15,76.1,74,56,23.31,broken clouds
522,Mastung,PK,29.7994,66.845,65.39,14,0,1.52,clear sky
523,Saint Anthony,US,45.0205,-93.218,68.11,58,0,8.05,clear sky
524,Gallup,US,35.5281,-108.7426,57.96,86,100,0.0,overcast clouds
525,Teya,RU,60.3778,92.6267,34.81,85,100,9.91,light snow
526,Rio Cuarto,AR,-33.1307,-64.3499,68.47,36,0,18.41,clear sky
527,Merauke,ID,-8.4667,140.3333,83.59,76,100,10.36,overcast clouds
528,Bitung,ID,1.4451,125.1824,86.85,72,55,7.0,broken clouds
529,Vrangel,RU,42.7297,133.0839,46.99,32,0,11.3,clear sky
530,Ukiah,US,39.1502,-123.2078,76.64,35,0,0.0,clear sky
531,Eureka,US,40.8021,-124.1637,59.2,81,77,5.01,broken clouds
532,Ereymentau,KZ,51.6199,73.1033,42.71,36,100,7.65,overcast clouds
533,Vostok,RU,46.4856,135.8833,35.55,44,52,11.74,broken clouds
534,Ayan,RU,56.45,138.1667,34.54,44,97,22.84,overcast clouds
535,Ridgecrest,US,35.6225,-117.6709,87.66,14,0,9.22,clear sky
536,Meulaboh,ID,4.1363,96.1285,74.57,94,100,7.29,overcast clouds
537,Sakata,JP,38.9167,139.855,60.98,55,75,9.22,broken clouds
538,Roma,US,43.2128,-75.4557,51.08,91,75,3.44,broken clouds
539,Abu Samrah,SY,35.3029,37.1841,70.56,63,2,4.16,clear sky
540,Vicosa Do Ceara,BR,-3.5622,-41.0922,65.17,83,92,2.53,overcast clouds
541,Mitsamiouli,KM,-11.3847,43.2844,74.91,83,18,10.63,light rain
542,Hoquiam,US,46.9809,-123.8893,60.78,86,100,5.75,overcast clouds
543,Pailon,BO,-17.65,-62.75,79.7,55,21,8.01,few clouds
544,Pontianak,ID,-0.0333,109.3333,80.58,88,20,3.44,few clouds
545,Yurga,RU,55.7231,84.8861,38.59,84,100,12.75,overcast clouds
546,Black River,JM,18.0264,-77.8487,79.74,84,99,1.39,overcast clouds
547,Bara,NG,10.3744,10.7288,72.46,94,83,5.3,broken clouds
548,Kalabo,ZM,-14.97,22.6814,65.86,26,1,5.77,clear sky
549,Tigil,RU,57.8,158.6667,41.04,81,100,13.49,overcast clouds
550,Beira,MZ,-19.8436,34.8389,71.69,100,40,2.3,mist
551,Gulmarg,IN,34.049,74.3921,53.29,42,0,2.57,clear sky
552,Ampanihy,MG,-24.7,44.75,64.65,95,54,2.98,broken clouds
553,Wajima,JP,37.4,136.9,61.48,77,75,4.61,broken clouds
554,Pangnirtung,CA,66.1451,-65.7125,33.31,68,99,4.92,overcast clouds
555,Juneau,US,58.3019,-134.4197,52.21,79,100,7.56,overcast clouds
556,Stephanskirchen,DE,47.8595,12.1528,46.24,96,46,4.32,scattered clouds
557,Barra Do Bugres,BR,-15.0725,-57.1811,76.8,71,54,3.09,broken clouds
558,Ekuvukeni,ZA,-28.4675,30.1551,58.15,86,61,2.24,broken clouds
559,Kloulklubed,PW,7.0419,134.2556,82.9,80,100,10.8,overcast clouds
560,Hofn,IS,64.2539,-15.2082,45.37,72,75,7.47,broken clouds
561,Bubaque,GW,11.2833,-15.8333,81.39,79,75,8.25,broken clouds
562,Sivaki,RU,52.6333,126.75,38.5,37,98,15.75,overcast clouds
563,Matane,CA,48.8286,-67.522,48.38,80,78,4.45,broken clouds
564,Newberry,US,34.2746,-81.6187,61.18,71,0,5.39,clear sky
565,Storforshei,NO,66.4043,14.5233,47.77,87,100,4.61,light rain
566,Mendoza,AR,-32.8908,-68.8272,67.53,32,75,17.27,light rain
567,Providencia,MX,28.7167,-111.5833,83.21,76,0,5.79,clear sky
568,Mtinko,TZ,-4.55,34.85,58.64,69,38,6.29,scattered clouds
569,Borogontsy,RU,62.6683,131.1683,30.7,51,14,9.69,few clouds
570,Chardara,KZ,41.2547,67.9692,53.87,39,0,10.54,clear sky
571,Komatipoort,ZA,-25.4332,31.9548,70.05,77,86,3.11,overcast clouds
572,Launceston,AU,-41.45,147.1667,61.61,52,75,8.05,broken clouds
573,Rehoboth,NA,-23.3167,17.0833,63.84,18,0,3.27,clear sky
574,Eregli,TR,37.5133,34.0467,60.33,64,93,3.27,overcast clouds
575,Patrocinio,BR,-18.9439,-46.9925,65.79,87,100,3.42,overcast clouds
576,Hirado,JP,33.3597,129.5531,74.39,75,97,21.56,overcast clouds
577,Werda,BW,-25.2667,23.2833,67.6,16,0,5.08,clear sky
578,Khartoum,SD,15.5518,32.5324,82.02,62,64,1.01,broken clouds
579,Manicore,BR,-5.8092,-61.3003,76.95,94,0,0.0,clear sky
580,Payakumbuh,ID,-0.2202,100.6308,72.63,89,100,2.59,overcast clouds
581,Sitka,US,57.0531,-135.33,64.29,48,75,11.5,broken clouds
582,Russellville,US,35.2784,-93.1338,63.99,62,0,0.0,clear sky
583,Srednekolymsk,RU,67.45,153.6833,27.05,54,24,18.5,few clouds
584,Eyl,SO,7.9803,49.8164,76.21,82,45,10.45,scattered clouds
585,Aykhal,RU,66.0,111.5,27.41,92,98,19.82,overcast clouds
586,Roald,NO,62.5833,6.1333,51.94,76,31,10.36,scattered clouds
587,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.41,81,35,6.31,scattered clouds
588,Ust-Nera,RU,64.5667,143.2,18.86,83,77,7.09,broken clouds
589,Virginia Beach,US,36.8529,-75.978,54.01,95,100,9.22,light rain
590,Dungarpur,IN,23.8333,73.7167,82.45,47,42,4.63,scattered clouds
591,Gao,ML,16.6362,1.637,87.87,28,2,8.41,clear sky
592,Saint-Felicien,CA,48.6501,-72.4491,54.28,82,100,3.44,overcast clouds
593,Necochea,AR,-38.5473,-58.7368,48.29,83,46,13.73,scattered clouds
594,Yunyang,CN,33.4474,112.7142,44.49,86,100,10.07,overcast clouds
595,Florianopolis,BR,-27.6146,-48.5012,58.62,80,75,2.3,broken clouds
596,Zhangye,CN,38.9342,100.4517,54.91,33,90,7.49,overcast clouds
597,Oum Hadjer,TD,13.2954,19.6966,79.3,63,89,8.12,overcast clouds
598,Puqi,CN,29.7167,113.8833,55.53,84,100,4.43,overcast clouds
599,Solnechnyy,RU,50.7214,136.6319,37.54,40,53,11.23,broken clouds
600,Lerik,AZ,38.7726,48.4128,47.84,43,0,2.75,clear sky
601,Hamilton,US,39.1834,-84.5333,56.88,69,0,3.44,clear sky
602,Sinnamary,GF,5.3833,-52.95,77.65,88,9,7.52,clear sky
603,Semey,KZ,50.4111,80.2275,28.62,74,23,8.95,few clouds
604,Gat,IL,31.61,34.7642,75.4,100,0,1.79,clear sky
605,Denia,ES,38.8408,0.1057,70.75,89,89,3.0,overcast clouds
606,Kryve Ozero,UA,47.9524,30.3493,48.15,89,71,9.19,broken clouds
607,Pitimbu,BR,-7.4706,-34.8086,75.79,79,88,8.88,overcast clouds
608,Road Town,VG,18.4167,-64.6167,80.69,78,21,20.49,few clouds
609,Nouakchott,MR,18.0858,-15.9785,81.46,72,63,15.73,broken clouds
610,Luwuk,ID,-0.9516,122.7875,87.42,62,44,3.22,scattered clouds
611,Jiaojiang,CN,28.6803,121.4428,73.99,69,99,13.51,overcast clouds
612,Maragogi,BR,-9.0122,-35.2225,74.05,81,44,6.33,scattered clouds
613,Revelstoke,CA,50.9832,-118.2023,59.02,88,0,2.3,clear sky
614,Chivacoa,VE,10.1603,-68.895,73.31,97,50,2.39,scattered clouds
615,Buin,CL,-33.7333,-70.75,57.74,81,85,0.67,overcast clouds
616,Rancho Palos Verdes,US,33.7445,-118.387,74.55,84,20,10.36,few clouds
617,Quzhou,CN,28.9594,118.8686,72.1,62,98,11.81,overcast clouds
618,Panama City,PA,8.9936,-79.5197,81.28,85,20,3.44,few clouds
619,Husavik,IS,66.0449,-17.3389,40.28,98,100,20.89,overcast clouds
620,Puruaran,MX,19.1,-101.5333,66.33,93,98,3.65,overcast clouds
621,Nuevitas,CU,21.5453,-77.2644,77.58,75,67,4.18,broken clouds
622,Bunia,CD,1.5667,30.25,60.04,96,72,2.28,light rain
623,Turayf,SA,31.6725,38.6637,70.05,43,0,13.8,clear sky
624,Kombissiri,BF,12.0656,-1.3375,71.58,85,27,7.02,scattered clouds
625,Oppdal,NO,62.5943,9.6912,44.71,98,100,2.3,overcast clouds
626,Batagay-Alyta,RU,67.8006,130.4114,20.07,73,98,1.77,overcast clouds
627,Kotelnich,RU,58.3089,48.348,42.85,92,100,10.67,overcast clouds
628,Dobryanka,RU,58.4619,56.4165,44.35,56,100,5.26,light rain
629,Henties Bay,NA,-22.116,14.2845,53.51,94,11,10.4,few clouds
630,Kaupanger,NO,61.1845,7.2404,42.1,94,100,1.72,overcast clouds
631,Dicabisagan,PH,17.0818,122.4157,86.11,68,35,5.75,scattered clouds
632,Ixtapa,MX,20.7,-105.2,81.63,78,100,4.0,overcast clouds
633,Samana,DO,19.2056,-69.3369,79.09,88,64,6.58,broken clouds
634,Akhtyrskiy,RU,44.8546,38.3031,56.19,77,100,2.68,overcast clouds
635,Seydisehir,TR,37.4193,31.8453,50.83,80,1,2.13,clear sky
636,Arman,RU,59.7,150.1667,32.02,64,100,8.41,overcast clouds
637,Kibungo,RW,-2.1597,30.5427,65.32,83,89,1.19,overcast clouds
638,Barra Do Garcas,BR,-15.89,-52.2567,75.81,70,30,5.12,scattered clouds
639,Storslett,NO,69.7678,21.0247,48.2,66,100,20.71,overcast clouds
640,Lobez,PL,53.6392,15.6213,49.71,93,100,10.22,overcast clouds
641,Barreirinhas,BR,-2.7469,-42.8264,76.28,84,20,6.71,few clouds
642,Akyab,MM,20.15,92.9,82.29,78,73,5.1,broken clouds
643,Shache,CN,38.4167,77.2406,59.0,23,68,2.42,broken clouds
644,Kavaratti,IN,10.5669,72.642,81.54,76,95,15.08,overcast clouds
645,Mogadishu,SO,2.0371,45.3438,76.8,87,33,9.86,scattered clouds
646,Marsa Matruh,EG,31.3525,27.2453,73.6,68,40,5.75,scattered clouds
647,Karpogory,RU,64.0019,44.4451,42.75,98,93,5.64,overcast clouds
648,Goba,ET,7.0167,39.9833,49.57,93,94,1.48,light rain
649,Chadiza,ZM,-14.0678,32.4392,64.22,40,5,4.54,clear sky
650,Matongo,TZ,-2.3833,34.0833,68.77,58,69,5.95,broken clouds
651,Vicuna,CL,-30.0319,-70.7081,47.93,69,17,1.61,few clouds
652,Mocuba,MZ,-16.8392,36.9856,69.26,57,0,3.83,clear sky
653,Qinzhou,CN,21.95,108.6167,85.66,70,13,4.65,few clouds
